code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj430510,2025-09-16,-0.021220159151193796,0.0,0.0032661934,0.51932263,-0.05702917771883298,0.0,0.0051319385,0.5528978,-0.0893015030946065,0.0,0.015317293,0.5888173,88.10126582278481,11,强
bj831175,2025-09-19,-0.013356562137049943,0.0,0.0020514298,0.536636,-0.024970963995354034,0.0,-0.002992584,0.5446775,-0.06097560975609695,0.0,0.015594642,0.5814776,85.25316455696202,12,强
bj833030,2025-09-18,-0.011884550084889534,0.0,-0.0035175912,0.47389346,-0.07504244482173195,0.0,-0.0070889844,0.52547437,-0.038030560271646974,0.0,0.009774833,0.583944,84.30379746835443,13,强
bj833580,2025-09-19,-0.06301369863013706,0.0,-0.0035078712,0.45886648,-0.04712328767123286,0.0,-0.011576262,0.5107928,-0.11726027397260275,0.0,0.014123616,0.5757221,83.54430379746836,14,强
bj831726,2025-09-22,-0.02344894968246214,0.0,0.0023381133,0.56910455,-0.07620908646800217,0.0,0.00036273376,0.54673237,-0.07816316560820735,0.0,0.015899207,0.5421207,82.40506329113924,15,强
bj832662,2025-09-23,-0.007225433526011793,0.0,-0.004768087,0.4882146,-0.08121387283237025,0.0,-0.005834664,0.5539986,-0.09104046242774622,0.0,0.008230524,0.574841,80.9493670886076,16,强
bj832278,2025-09-15,0.0018165304268846771,1.0,-0.0040308153,0.4681591,-0.009082652134423164,0.0,0.0033572689,0.521848,-0.047229791099000606,0.0,0.011516108,0.54198533,79.81012658227849,17,偏强
bj830974,2025-09-18,-0.016163793103448176,0.0,0.00034859852,0.43588534,-0.05603448275862066,0.0,-0.0077482983,0.48052463,-0.08405172413793094,0.0,0.008743191,0.5221942,75.63291139240506,18,偏强
bj833575,2025-09-19,-0.06898734177215193,0.0,-0.004362163,0.46304283,-0.18,0.0,-0.012658782,0.50761396,-0.16835443037974684,0.0,0.007027703,0.5222743,75.12658227848101,19,偏强
bj831396,2025-09-19,-0.018150388936906126,0.0,-0.0007293027,0.48566905,-0.029386343993085706,0.0,-0.011820826,0.4822509,-0.0700086430423511,0.0,0.004716479,0.52247787,75.0632911392405,20,偏强
bj833230,2025-09-19,-0.023980815347721895,0.0,-0.0055574933,0.4278377,-0.03537170263788991,0.0,-0.017818443,0.5012302,-0.09172661870503618,0.0,0.0005177014,0.55719584,73.03797468354429,21,偏强
