code,date,rank,trend_score,rating,confidence,prob_up_1d,prob_up_3d,prob_up_5d,pred_return_1d,pred_return_3d,pred_return_5d,ret_5d,ret_20d,rel_ret_5d,rel_ret_20d,turnover,log_money
bj430425,2025-09-30,11,87.01298701298701,强,0.22711472309801786,0.611662789971391,0.6172582846563246,0.6117510100193112,0.005232084955098642,0.008503124710848452,0.008263131287987429,-0.01614906832298113,-0.13756805807622474,-0.03209692576300338,-0.1439571636791982,0.0195152615887059,17.129976923332066
bj832225,2025-09-30,12,85.71428571428571,强,0.23655174705846815,0.6195584306579075,0.6204821562078187,0.6147870337219761,0.004664279301091694,0.00791080022330937,0.007321457256297858,-0.039268183846496885,-0.11942740286298559,-0.055216041286519135,-0.12581650846595904,0.0152249239612682,17.122461104270954
bj430418,2025-09-30,13,84.4155844155844,强,0.23305936077058798,0.6138455127243317,0.6192022733497056,0.6165412550818447,0.004748318276961447,0.007912047139009792,0.007257025293540559,-0.009669889963320855,-0.1361256544502616,-0.025617747403343105,-0.14251476005323505,0.0126318437444568,17.888863411212704
bj833230,2025-09-30,14,83.11688311688312,强,0.22966944912369094,0.6180022527544379,0.6158139231377423,0.6106879977933563,0.0040520559292106986,0.007318889178617529,0.006763297203431606,-0.06427221172022679,-0.10271903323262843,-0.08022006916024904,-0.10910813883560189,0.0155075848957119,16.20188269369798
bj831167,2025-09-30,15,81.81818181818183,强,0.2185293131964939,0.6074435244121701,0.6112861245497664,0.6090643208328044,0.0046549210944436085,0.006882805467732526,0.007017715652654501,-0.016636528028933006,-0.1050032916392366,-0.03258438546895526,-0.11139239724221006,0.0229796270853561,16.713857540158454
bj831526,2025-09-30,16,80.51948051948052,强,0.22037447609123265,0.6072976646494667,0.6134436075797334,0.609820441907649,0.004806002353492106,0.006816235022889574,0.006621390145671549,-0.037151702786377694,-0.08857049820905216,-0.053099560226399944,-0.09495960381202562,0.0134172948458896,16.797610279100674
bj831396,2025-09-30,17,79.22077922077922,偏强,0.22211085543155992,0.6108432631687598,0.61499375711378,0.6073292628648,0.0043128122298478205,0.007657865655669596,0.006489436426087008,-0.018050541516245633,-0.09257714762301972,-0.03399839895626788,-0.09896625322599317,0.0157506387610362,17.033875332268376
bj430718,2025-09-30,18,77.92207792207793,偏强,0.23421363267726517,0.6227104347493799,0.6138606657118855,0.6147493485546324,0.003920966964103638,0.00544310834866564,0.0056415361608067125,-0.04510108864696705,-0.035096909376636676,-0.0610489460869893,-0.04148601497961013,0.0298693728165373,16.9899002669443
bj832566,2025-09-30,19,76.62337662337663,偏强,0.21744640392365092,0.6090520575072825,0.611383041774796,0.6057345066033979,0.004128994962880958,0.007106017753375469,0.006362216383745541,0.0033003300330034513,-0.10850439882697971,-0.0126475274070188,-0.11489350442995316,0.0128751782620208,16.685683576789014
bj830974,2025-09-30,20,75.32467532467533,偏强,0.2262840636756299,0.6177800905515476,0.6146682543257952,0.606977750636102,0.004629658275612488,0.007023513878741743,0.0059172979883008086,-0.019406392694063967,-0.10984455958549244,-0.03535425013408622,-0.1162336651884659,0.0147763134481428,16.615745696748757
bj430510,2025-09-30,21,74.02597402597402,偏强,0.23506689272370265,0.6212868699443561,0.6197314026696347,0.6115820664715632,0.004766673004009668,0.0070666887724960825,0.0053048761169518,-0.03883495145631066,-0.1480206540447503,-0.05478280889633291,-0.15440975964772374,0.0118258669163929,16.911111424136074
bj430685,2025-09-30,22,72.72727272727273,偏强,0.21382022370031661,0.6033700385543072,0.6097177099859232,0.6076425870102445,0.003406290207072652,0.006384875082846786,0.006296898496719269,-0.03491271820448849,-0.09737609329446051,-0.05086057564451074,-0.10376519889743396,0.017689594729653,16.52699007224472
bj831039,2025-09-30,23,71.42857142857143,偏强,0.2124141633077369,0.6047654830261603,0.610252854669957,0.603602907265488,0.004287334754532237,0.0065542254482724065,0.006352878495827774,-0.00991609458428655,-0.14210178453403854,-0.0258639520243088,-0.148490890137012,0.0101436485136188,16.828425805025567
bj830832,2025-09-30,24,70.12987012987013,偏强,0.21069505727347124,0.6038293431714965,0.607831355377503,0.6043818873612073,0.005123783233830002,0.006814688458412484,0.006324643078164124,0.017262638717632672,-0.05929304446978334,0.0013147812776104217,-0.0656821500727568,0.0117448989974974,16.291529411376032
bj831641,2025-09-30,25,68.83116883116884,偏强,0.2321225824899693,0.6161543656848252,0.6167016374562698,0.615327870593859,0.003907782147168068,0.006772519625559379,0.005083816564177262,-0.11460674157303363,-0.00605449041372319,-0.13055459901305588,-0.012443596016696645,0.0444409760589215,17.500755841472486
bj430564,2025-09-30,26,67.53246753246754,偏强,0.22220850574130413,0.6107972999844734,0.6146855330333302,0.6078299255941526,0.0045548551058007675,0.006645240874015316,0.005557923596282634,0.011862917398945294,-0.13745318352059954,-0.0040849400410769565,-0.143842289123573,0.0240583935826315,16.93178348367505
bj430300,2025-09-30,27,66.23376623376623,偏强,0.2012771512953849,0.5942370141858714,0.6060012857555301,0.6016774270016758,0.004122664211790845,0.0064540368614333585,0.006398054111945886,-0.03773584905660399,-0.09137931034482805,-0.05368370649662624,-0.0977684159478015,0.0183407880302874,16.77522127560009
bj430478,2025-09-30,28,64.93506493506493,偏强,0.21356246868434403,0.603939328897728,0.6101106617126314,0.6062937124161567,0.003689513647117322,0.006673983720825501,0.005699668208989688,-0.030864197530864,-0.10541310541310545,-0.04681205497088625,-0.1118022110160789,0.0262241269772271,17.122739765596066
bj430198,2025-09-30,29,63.63636363636363,偏强,0.2202323322059064,0.6126440578339881,0.6119058310332227,0.6057986094416488,0.0040187022237259855,0.006209796595034206,0.005416001542454622,-0.02512077294685977,-0.13760683760683756,-0.04106863038688202,-0.14399594320981102,0.0216928477036841,16.5531776825963
bj430090,2025-09-30,30,62.33766233766234,偏强,0.22553809566377722,0.6096079407094606,0.6121501397490291,0.6165490630371762,0.003127353780619873,0.005814013671825484,0.004996963936985023,-0.03508771929824561,-0.16213275299238283,-0.05103557673826786,-0.1685218585953563,0.0765492798531778,18.210288485745405
bj832469,2025-09-30,31,61.038961038961034,偏强,0.22519057573763038,0.6138469484055139,0.6128159313393967,0.611122983861535,0.00315728972400923,0.005852858990956968,0.005069232402157876,-0.03278688524590179,-0.14129775621588825,-0.04873474268592404,-0.1476868618188617,0.0284865380208495,17.555989227167252
bj830879,2025-09-30,32,59.74025974025974,中性,0.22412657994542884,0.6138058687029824,0.6127717475774708,0.6096122536376901,0.003224369928288554,0.005507352395489935,0.005104199042236383,-0.03803680981595092,-0.11312217194570151,-0.05398466725597317,-0.11951127754867497,0.0127448719648903,17.52510739242884
bj832110,2025-09-30,33,58.44155844155844,中性,0.22123972386046598,0.610806806078688,0.6115020540772078,0.6095507256348032,0.0035012997515724313,0.005900379703536077,0.00504168576883323,-0.011184544992374423,-0.06332771490488842,-0.027132402432396674,-0.06971682050786188,0.0225536670977276,16.475713939807296
bj832023,2025-09-30,34,57.14285714285714,中性,0.20444310685461975,0.5956330551188489,0.6082622031614013,0.6027694020016794,0.004345846305635125,0.007317937696777293,0.005585323874368379,0.0022883295194509046,-0.07594936708860767,-0.013659527920571346,-0.08233847269158112,0.0229117394451731,17.108932176271328
bj832735,2025-09-30,35,55.84415584415584,中性,0.23269398446415313,0.6213419958343436,0.6158142846377549,0.6118846962241312,0.004794817763241208,0.0060752878622203806,0.00441499684370254,-0.03192046049188901,-0.07730673316708214,-0.047868317931911264,-0.0836958387700556,0.0141556109954399,17.818318099721655
bj832885,2025-09-30,36,54.54545454545454,中性,0.2160233864264527,0.6046584118546762,0.6102531449783872,0.6091235228066156,0.0037387091126784688,0.006052208131219046,0.004973251257731597,0.011055276381909618,-0.2361427486712223,-0.004892581058112633,-0.24253185427419577,0.0344876002031946,17.92448136657385
bj833171,2025-09-30,37,53.246753246753244,中性,0.2325218448196155,0.6194452533954827,0.619557281573879,0.6097802322600615,0.004819089672794558,0.007259938182778344,0.004269596402144783,-0.0576208178438663,-0.04429783223374162,-0.07356867528388855,-0.050686937836715074,0.0259308032490148,18.12374470532924
bj832471,2025-09-30,38,51.94805194805194,中性,0.21988987154333173,0.6133857036978354,0.6101555693951877,0.6062935342219745,0.002389565568479029,0.00493735099894007,0.004648760452134816,-0.011356045424181782,-0.06801007556675054,-0.027303902864204033,-0.074399181169724,0.0235017110024782,16.74118564384773
bj832278,2025-09-30,39,50.649350649350644,中性,0.21851836067013783,0.6129436747382108,0.6105478198563193,0.6042860464106766,0.0042598836896036935,0.005688862737521695,0.004645784635316308,-0.002226261484530645,-0.10447162691544432,-0.018174118924552896,-0.11086073251841777,0.0122137397363872,16.02547255770111
bj833030,2025-09-30,40,49.35064935064935,中性,0.22498543393920523,0.6171514033567107,0.6140177859890183,0.6063089615630788,0.004010326071409686,0.005484688338620954,0.004391669276925204,0.0003671071953013083,-0.10154962083745478,-0.015580750244720942,-0.10793872644042823,0.0150135918768946,16.96794059334775
