code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj831906,2025-09-18,-0.0725358291898216,0.0,0.000847021432321938,0.6815345109301538,-0.1079262942380812,0.0,0.01821563714759308,0.6607756061830868,-0.13688212927756638,0.0,0.005062220063834097,0.6513598541235124,75.33333333333333,11,偏强
bj832278,2025-09-16,-0.0009066183136895445,0.0,0.007468478285794278,0.6205194216036036,-0.019945602901178305,0.0,0.0065501582090980795,0.650929008439562,-0.07887579329102412,0.0,0.007977738498390693,0.6425607149371114,74.0,12,偏强
bj830946,2025-09-22,-0.0291519434628974,0.0,0.022989338623916607,0.7059904444973866,-0.028268551236748984,0.0,0.013450930854285609,0.6731355369729318,-0.04063604240282681,0.0,0.01806802095040118,0.6309993238997773,73.55555555555556,13,偏强
bj430718,2025-09-23,0.006739243131156369,1.0,0.0054939956157809425,0.6423204906623766,-0.02125453602903038,0.0,-0.008547411021935541,0.6209299979747382,-0.04510108864696705,0.0,0.024019126470183696,0.6122579336682507,68.66666666666666,14,偏强
bj831855,2025-09-22,-0.061419472247497664,0.0,0.019529254598868614,0.7049686770476072,-0.07006369426751569,0.0,0.0035107134751362853,0.6262398973194419,-0.0723384895359418,0.0,0.009507709175827283,0.6235186353280994,67.55555555555556,15,偏强
bj832522,2025-09-23,0.0406400453129423,1.0,-0.0018010909179164549,0.6307942212263464,-0.06952704616256034,0.0,-0.020101012534662954,0.547910797063327,-0.09232512036250373,0.0,0.01624989477969239,0.6145231372311307,67.0,16,偏强
bj830879,2025-09-17,-0.019852082522382353,0.0,0.0004220639200149777,0.584836488111287,-0.04515375632541829,0.0,-0.03346232495976436,0.5433746630123676,-0.06344881276761394,0.0,-0.003289898440975466,0.6408104386009739,64.0,17,偏强
bj833075,2025-09-18,0.007716049382715973,1.0,-0.0191408952107601,0.551929928631422,-0.08333333333333326,0.0,0.009233273835985644,0.5962898923710677,-0.06944444444444464,0.0,-0.0022775455051230282,0.6339888419798144,63.33333333333333,18,偏强
bj831832,2025-09-17,-0.02320675105485237,0.0,0.011817526012214764,0.6165794048434642,-0.04571026722925464,0.0,-0.009233370046006249,0.5707741210092212,-0.05168776371308026,0.0,0.0012423151367440348,0.623611820154815,61.222222222222214,19,偏强
bj830974,2025-09-19,-0.030668127053669392,0.0,-0.002167342448690488,0.6339485515498696,-0.025191675794085433,0.0,-0.0017934084082283925,0.6037328888590826,-0.07228915662650603,0.0,0.005603950588364287,0.6071712297327728,60.22222222222223,20,偏强
bj832978,2025-09-17,0.019533111005240356,1.0,0.02243891540103352,0.5933506017916231,0.09933301572177222,1.0,0.003451353644034276,0.5713788899774628,0.07551214864221056,1.0,-0.008241847423778311,0.6198147506611069,55.22222222222222,21,中性
bj831039,2025-09-17,-0.02689655172413785,0.0,0.017238344263905653,0.552760222691783,-0.06413793103448251,0.0,-0.011287733470633894,0.5929105432729049,-0.08413793103448275,0.0,0.0032339883901690205,0.595668273468881,55.0,22,中性
bj832469,2025-09-23,0.01571038251366086,1.0,0.017594803618824064,0.6179309003703589,-0.01775956284153024,0.0,-0.019737161572470775,0.5972139324233111,-0.03278688524590179,0.0,0.0027507365166592203,0.6070808143369335,54.888888888888886,23,中性
bj831627,2025-09-22,-0.029861616897305154,0.0,0.016727090826867998,0.6433909219538806,-0.021849963583394083,0.0,0.008674984366076851,0.6240421084536957,0.056081573197378054,1.0,0.0013564274744990406,0.5932669883642617,49.0,24,中性
bj830809,2025-09-22,-0.01180438448566612,0.0,0.01939299942765024,0.6273171049839582,-0.01517706576728517,0.0,0.010770667839639583,0.6146667923309049,0.010118043844856706,1.0,0.002824944630066428,0.5916727141950694,48.44444444444444,25,中性
bj832662,2025-09-15,0.029461756373937886,1.0,0.0012523115824380324,0.54405067468557,0.04787535410764887,1.0,-0.041064861818140404,0.5744024597100529,-0.00538243626062318,0.0,-0.019257582908896585,0.5934068651627289,41.888888888888886,26,中性
bj831689,2025-09-18,-0.0249684741488021,0.0,-0.012757536352320655,0.6090295894040939,-0.044136191677175085,0.0,0.006402531237971687,0.6214329565526459,-0.03253467843631741,0.0,-0.020009727266467412,0.5920833383135207,38.22222222222222,27,偏弱
bj832110,2025-09-23,0.025165226232841675,1.0,-0.004348328083257974,0.6130658232236118,-0.007371631926792355,0.0,-0.02691645414440412,0.5642799379105654,-0.011184544992374423,0.0,0.0024978730192965768,0.5728904738510331,36.77777777777778,28,偏弱
bj832023,2025-09-23,0.016018306636155666,1.0,-0.016045935654837213,0.5543444044775135,-0.016018306636155666,0.0,-0.03252659993123933,0.5902784026995036,0.0022883295194509046,1.0,-0.018908472228064327,0.5765895476491052,32.55555555555556,29,偏弱
bj832225,2025-09-19,-0.015358361774743812,0.0,-0.0031271687656284413,0.615832545975588,-0.04052901023890765,0.0,-0.013719242998201745,0.5833918518504488,-0.08831058020477789,0.0,-0.023307001194276294,0.5902064128385026,32.22222222222222,30,偏弱
bj831834,2025-09-23,-0.014985590778098246,0.0,-0.01123119617586961,0.5636093602489971,-0.0541786743515853,0.0,-0.05863378132552212,0.5364250076577316,-0.057636887608069176,0.0,-0.017543089266927353,0.5734036916905617,31.888888888888886,31,偏弱
bj830896,2025-09-23,0.027817067421027852,1.0,0.007078514704114853,0.6163664140180314,0.015558698727015319,1.0,-0.0212466129739556,0.581803583604184,-0.005657708628005853,0.0,-0.00527478660457198,0.5702196637986952,31.444444444444443,32,偏弱
bj831304,2025-09-23,0.032592592592592506,1.0,0.004119039540814042,0.5812820019268976,-0.008888888888888946,0.0,-0.024714936889736576,0.5137563284753682,-0.0022222222222223476,0.0,-0.01110410228338047,0.5730639387337246,31.22222222222222,33,偏弱
