code,statDate,pubDate,quality_score,predicted_future_quality_score,predicted_quality_trend,score,trend_score,rank,rating
sh688363,2025-03-31,2025-05-15,37.0764999049881,52.31223422182097,15.235734316832877,93.15980629539952,93.15980629539952,114,强
sz002195,2025-03-31,2025-05-15,30.277288810122204,45.37748545863491,15.100196648512702,93.09927360774817,93.09927360774817,115,强
sh688575,2025-03-31,2025-05-15,32.01912278863404,47.080308126256156,15.06118533762211,93.03874092009686,93.03874092009686,116,强
sh600859,2025-03-31,2025-05-15,27.789281076349777,42.619539969986384,14.830258893636607,92.97820823244552,92.97820823244552,117,强
sh600508,2025-03-31,2025-05-15,22.849809793371456,37.61009643932093,14.760286645949467,92.91767554479419,92.91767554479419,118,强
sh688779,2025-03-31,2025-05-15,24.52391049637946,39.26252186265454,14.738611366275077,92.85714285714286,92.85714285714286,119,强
sh603358,2025-03-31,2025-05-15,23.314110550784154,37.882606381745084,14.568495830960929,92.79661016949152,92.79661016949152,120,强
sz300663,2025-03-31,2025-05-15,23.924425713647455,38.485570058124765,14.561144344477308,92.7360774818402,92.7360774818402,121,强
sh601606,2025-03-31,2025-05-15,20.06733312803904,34.56458638368594,14.497253255646902,92.67554479418885,92.67554479418885,122,强
sz000555,2025-03-31,2025-05-15,23.076202825276873,37.549503573481715,14.473300748204846,92.61501210653753,92.61501210653753,123,强
sh600116,2025-03-31,2025-05-15,16.793238086222743,31.220810523610385,14.427572437387642,92.55447941888619,92.55447941888619,124,强
sh688037,2025-03-31,2025-05-15,27.551115918467335,41.94198984438696,14.390873925919623,92.49394673123487,92.49394673123487,125,强
sh600996,2025-03-31,2025-05-15,12.646470708310353,27.008968952676877,14.362498244366524,92.43341404358354,92.43341404358354,126,强
sh688728,2025-03-31,2025-05-15,26.36684455623606,40.723190921597975,14.356346365361915,92.37288135593221,92.37288135593221,127,强
sz300171,2025-03-31,2025-05-15,28.827860938533707,43.129381395912716,14.301520457379011,92.31234866828088,92.31234866828088,128,强
sz300613,2025-03-31,2025-05-15,33.261548361466964,47.556106314315024,14.294557952848058,92.25181598062953,92.25181598062953,129,强
sz002025,2025-03-31,2025-05-15,25.003960488880264,39.214702101652804,14.210741612772537,92.19128329297821,92.19128329297821,130,强
sz300457,2025-03-31,2025-05-15,18.227703888818773,32.35742113558996,14.129717246771182,92.13075060532687,92.13075060532687,131,强
sz000901,2025-03-31,2025-05-15,24.243527617604556,38.29435876995513,14.050831152350577,92.07021791767555,92.07021791767555,132,强
sh601949,2025-03-31,2025-05-15,20.122901735780736,34.167141115118056,14.044239379337323,92.00968523002422,92.00968523002422,133,强
sz300253,2025-03-31,2025-05-15,23.80974249160695,37.842007910237264,14.032265418630315,91.94915254237289,91.94915254237289,134,强
sh600997,2025-03-31,2025-05-15,17.839612865194468,31.860325584189816,14.02071271899535,91.88861985472155,91.88861985472155,135,强
sh603077,2025-03-31,2025-05-15,20.134291588388802,34.1531535052279,14.018861916839095,91.82808716707022,91.82808716707022,136,强
sh600029,2025-03-31,2025-05-15,16.416981465666364,30.39524785909183,13.978266393425464,91.76755447941889,91.76755447941889,137,强
sh688032,2025-03-31,2025-05-15,25.61176421275319,39.56784179390288,13.956077581149687,91.70702179176754,91.70702179176754,138,强
sz002127,2025-03-31,2025-05-15,24.46892662756881,38.403083381482546,13.934156753913733,91.64648910411623,91.64648910411623,139,强
sz002368,2025-03-31,2025-05-15,14.414216690531793,28.33334775611409,13.919131065582297,91.58595641646488,91.58595641646488,140,强
sh605358,2025-03-31,2025-05-15,30.9171624703755,44.75378429372117,13.836621823345665,91.52542372881356,91.52542372881356,141,强
sh600754,2025-03-31,2025-05-15,26.439270047150668,40.27550993354285,13.836239886392184,91.46489104116223,91.46489104116223,142,强
sh600331,2025-03-31,2025-05-15,17.06321212205256,30.824772172418538,13.76156005036598,91.4043583535109,91.4043583535109,143,强
sz000761,2025-03-31,2025-05-15,22.944213952732067,36.62968187511498,13.685467922382916,91.34382566585957,91.34382566585957,144,强
sh688439,2025-03-31,2025-05-15,29.6924509992604,43.36968486254038,13.677233863279977,91.28329297820824,91.28329297820824,145,强
sh688709,2024-12-31,2025-04-30,36.19656323167287,49.7830959179763,13.586532686303425,91.2227602905569,91.2227602905569,146,强
sh603220,2025-03-31,2025-05-15,18.393081037176618,31.866991107120207,13.473910069943589,91.16222760290556,91.16222760290556,147,强
sz300856,2025-03-31,2025-05-15,32.974021200317324,46.36177927058405,13.387758070266727,91.10169491525424,91.10169491525424,148,强
sz002460,2025-03-31,2025-05-15,23.904595779674104,37.21496729632239,13.310371516648289,91.0411622276029,91.0411622276029,149,强
sz000035,2025-03-31,2025-05-15,33.7477540960912,47.03480664268219,13.28705254659099,90.98062953995158,90.98062953995158,150,强
sz300841,2025-03-31,2025-05-15,33.04273225240851,46.32330800568688,13.280575753278367,90.92009685230025,90.92009685230025,151,强
sh601222,2025-03-31,2025-05-15,28.201896335294542,41.4324802128637,13.230583877569158,90.85956416464892,90.85956416464892,152,强
sh603099,2025-03-31,2025-05-15,32.00168836975992,45.02918438799914,13.02749601823922,90.79903147699758,90.79903147699758,153,强
sh600651,2025-03-31,2025-05-15,25.161270285504692,38.17182232889673,13.010552043392037,90.73849878934624,90.73849878934624,154,强
sh600596,2025-03-31,2025-05-15,19.10073978530391,32.049364456319395,12.948624671015486,90.67796610169492,90.67796610169492,155,强
sh688234,2025-03-31,2025-05-15,29.768528560202665,42.61680763948013,12.848279079277463,90.61743341404357,90.61743341404357,156,强
sz301487,2025-03-31,2025-05-15,28.06362673781845,40.84354217746077,12.779915439642318,90.55690072639226,90.55690072639226,157,强
sh600372,2025-03-31,2025-05-15,22.943449870030456,35.72154888153371,12.778099011503254,90.49636803874091,90.49636803874091,158,强
sh600129,2025-03-31,2025-05-15,23.801778219945916,36.57054512740321,12.768766907457287,90.4358353510896,90.4358353510896,159,强
sh600879,2025-03-31,2025-05-15,16.105730554192828,28.872708221050694,12.766977666857866,90.37530266343826,90.37530266343826,160,强
sz300657,2025-03-31,2025-05-15,15.802416409133553,28.518975042039894,12.716558632906342,90.31476997578693,90.31476997578693,161,强
sh603567,2025-03-31,2025-05-15,30.781556888165593,43.34627512472834,12.564718236562753,90.2542372881356,90.2542372881356,162,强
sh603690,2025-03-31,2025-05-15,17.155518126167316,29.68744751656734,12.531929390400023,90.19370460048425,90.19370460048425,163,强
sh600894,2025-03-31,2025-05-15,18.262344396963876,30.771998322282546,12.50965392531867,90.13317191283294,90.13317191283294,164,强
sh688107,2025-03-31,2025-05-15,29.505989892809495,41.87731394643541,12.371324053625909,90.07263922518159,90.07263922518159,165,强
sh600546,2025-03-31,2025-05-15,28.406707185298327,40.73963936261782,12.332932177319497,90.01210653753027,90.01210653753027,166,强
sh600657,2025-03-31,2025-05-15,20.121434483942082,32.42769709799026,12.306262614048181,89.95157384987893,89.95157384987893,167,强
sh688717,2024-12-31,2025-04-30,46.122976090672644,58.40848749907772,12.28551140840508,89.89104116222761,89.89104116222761,168,强
sz300276,2025-03-31,2025-05-15,18.886305028582555,31.09481697992768,12.208511951345121,89.83050847457628,89.83050847457628,169,强
sz300075,2025-03-31,2025-05-15,25.58068677619656,37.776934088614425,12.196247312417865,89.76997578692493,89.76997578692493,170,强
sh601106,2025-03-31,2025-05-15,22.982524208757205,35.17519273113969,12.192668522382482,89.70944309927361,89.70944309927361,171,强
sh600893,2025-03-31,2025-05-15,23.711731770213508,35.67719115388262,11.965459383669112,89.64891041162227,89.64891041162227,172,强
sz300070,2025-03-31,2025-05-15,23.481021883571206,35.403774179158816,11.922752295587612,89.58837772397095,89.58837772397095,173,强
sh600032,2025-03-31,2025-05-15,31.45020017119057,43.365385841158755,11.915185669968187,89.5278450363196,89.5278450363196,174,强
sh600718,2025-03-31,2025-05-15,20.943951808425904,32.839219044498584,11.895267236072682,89.46731234866829,89.46731234866829,175,强
sh601068,2025-03-31,2025-05-15,21.933126106320692,33.82252567197864,11.88939956565795,89.40677966101694,89.40677966101694,176,强
sz000723,2025-03-31,2025-05-15,23.556859027847523,35.439657389835155,11.882798361987632,89.34624697336562,89.34624697336562,177,强
sh600737,2025-03-31,2025-05-15,20.208102093370034,32.079064731042045,11.870962637672012,89.28571428571429,89.28571428571429,178,强
sz002635,2025-03-31,2025-05-15,30.110845763290772,41.97245303162805,11.861607268337279,89.22518159806295,89.22518159806295,179,强
sh600916,2025-03-31,2025-05-15,20.593735234374297,32.370591965834755,11.776856731460457,89.16464891041163,89.16464891041163,180,强
sz002271,2025-03-31,2025-05-15,22.806373531942445,34.555445929919074,11.749072397976633,89.10411622276028,89.10411622276028,181,强
sz000937,2025-03-31,2025-05-15,30.534371383753413,42.27756222181709,11.743190838063681,89.04358353510897,89.04358353510897,182,强
sz300327,2025-03-31,2025-05-15,36.27310374883438,47.970083909650235,11.696980160815855,88.98305084745762,88.98305084745762,183,强
sh600010,2025-03-31,2025-05-15,19.06100539795401,30.724906130784756,11.663900732830747,88.9225181598063,88.9225181598063,184,强
sz002049,2025-03-31,2025-05-15,34.23581964423167,45.8670247072275,11.631205062995829,88.86198547215496,88.86198547215496,185,强
sz000597,2025-03-31,2025-05-15,30.203886124761997,41.7110041864084,11.507118061646402,88.80145278450364,88.80145278450364,186,强
sz300455,2025-03-31,2025-05-15,24.47780197071967,35.89954555292462,11.421743582204954,88.7409200968523,88.7409200968523,187,强
sz300678,2025-03-31,2025-05-15,26.213416680476836,37.541195033253494,11.327778352776656,88.68038740920096,88.68038740920096,188,强
sh603707,2025-03-31,2025-05-15,36.75703867924853,48.05222067674986,11.295181997501329,88.61985472154964,88.61985472154964,189,强
sh688375,2025-03-31,2025-05-15,32.365111477247005,43.611793316498826,11.24668183925182,88.5593220338983,88.5593220338983,190,强
sh688387,2025-03-31,2025-05-15,23.9706494619551,35.139810118738296,11.169160656783196,88.49878934624698,88.49878934624698,191,强
sh688333,2025-03-31,2025-05-15,26.247788466533894,37.372229680398405,11.124441213864507,88.43825665859563,88.43825665859563,192,强
sz000917,2025-03-31,2025-05-15,29.248262233573623,40.312619695487335,11.064357461913712,88.37772397094432,88.37772397094432,193,强
sh600456,2025-03-31,2025-05-15,28.59910161439461,39.54093841138304,10.941836796988426,88.31719128329297,88.31719128329297,194,强
sh603026,2025-03-31,2025-05-15,28.01276184306446,38.89090618134549,10.878144338281034,88.25665859564165,88.25665859564165,195,强
sh688586,2025-03-31,2025-05-15,29.161420104191507,39.99434480700654,10.832924702815035,88.19612590799032,88.19612590799032,196,强
sh601699,2025-03-31,2025-05-15,29.747978117590346,40.53994253946502,10.79196442187467,88.13559322033898,88.13559322033898,197,强
sz002044,2025-03-31,2025-05-15,28.847140769706872,39.54749930242817,10.700358532721301,88.07506053268766,88.07506053268766,198,强
sh688347,2025-03-31,2025-05-15,34.00521528605334,44.67605089558084,10.670835609527503,88.01452784503631,88.01452784503631,199,强
sz002756,2025-03-31,2025-05-15,30.629785795857835,41.20401529596671,10.574229500108881,87.953995157385,87.953995157385,200,强
sz300024,2025-03-31,2025-05-15,20.43787572005809,30.980002946861788,10.542127226803697,87.89346246973365,87.89346246973365,201,强
sh603317,2025-03-31,2025-05-15,37.69174172057049,48.158600939653496,10.466859219083009,87.83292978208233,87.83292978208233,202,强
sh688306,2025-03-31,2025-05-15,29.22057311738034,39.53007964294614,10.309506525565803,87.77239709443099,87.77239709443099,203,强
sh688348,2025-03-31,2025-05-15,32.20333280455131,42.423151480834065,10.219818676282758,87.71186440677965,87.71186440677965,204,强
sz000913,2025-03-31,2025-05-15,33.12253025989377,43.335856813109615,10.213326553215843,87.65133171912834,87.65133171912834,205,强
sh688327,2025-03-31,2025-05-15,32.71508435528717,42.92288103652813,10.207796681240966,87.59079903147699,87.59079903147699,206,强
sz302132,2025-03-31,2025-05-15,28.043435304015535,38.010537184510675,9.96710188049514,87.53026634382567,87.53026634382567,207,强
sz000733,2025-03-31,2025-05-15,32.90818585698623,42.797968859906454,9.889783002920227,87.46973365617433,87.46973365617433,208,强
sh600395,2025-03-31,2025-05-15,25.34596071867236,35.229871683598816,9.883910964926459,87.40920096852301,87.40920096852301,209,强
sz301325,2025-03-31,2025-05-15,36.310422489957425,46.09367979202503,9.7832573020676,87.34866828087166,87.34866828087166,210,强
sh600963,2025-03-31,2025-05-15,23.650643513831415,33.41339289508619,9.762749381254778,87.28813559322035,87.28813559322035,211,强
sz300383,2025-03-31,2025-05-15,28.70107948972394,38.46180797686708,9.760728487143135,87.22760290556901,87.22760290556901,212,强
sh600643,2025-03-31,2025-05-15,35.45469704245607,45.21530031954736,9.76060327709129,87.16707021791767,87.16707021791767,213,强
sz002006,2025-03-31,2025-05-15,33.618705187765734,43.33044044186765,9.71173525410192,87.10653753026635,87.10653753026635,214,强
sh603260,2025-03-31,2025-05-15,29.71288043850744,39.41832158351256,9.705441145005116,87.046004842615,87.046004842615,215,强
sh688349,2025-03-31,2025-05-15,25.40902854698186,35.07805655283805,9.669028005856191,86.98547215496369,86.98547215496369,216,强
sz002654,2025-03-31,2025-05-15,24.32958981782826,33.93813606708043,9.608546249252168,86.92493946731234,86.92493946731234,217,强
sz300872,2025-03-31,2025-05-15,29.490890648106063,39.06811150821933,9.577220860113266,86.86440677966102,86.86440677966102,218,强
sh603305,2025-03-31,2025-05-15,34.60362818716023,44.12927438126305,9.525646194102817,86.80387409200968,86.80387409200968,219,强
sz300735,2025-03-31,2025-05-15,28.596841100339052,38.11233275007604,9.515491649736992,86.74334140435835,86.74334140435835,220,强
sz002557,2025-03-31,2025-05-15,31.182093212523636,40.68402450568314,9.501931293159505,86.68280871670703,86.68280871670703,221,强
sh688766,2025-03-31,2025-05-15,32.44468826481662,41.88987013915535,9.445181874338726,86.62227602905568,86.62227602905568,222,强
sz002737,2025-03-31,2025-05-15,34.343378104577866,43.74920836561226,9.405830261034398,86.56174334140437,86.56174334140437,223,强
sh600422,2025-03-31,2025-05-15,33.21658944903772,42.55515704436706,9.338567595329339,86.50121065375302,86.50121065375302,224,强
sh600515,2025-03-31,2025-05-15,30.63243748340874,39.967799312211966,9.335361828803228,86.4406779661017,86.4406779661017,225,强
sh688352,2025-03-31,2025-05-15,37.69305053216822,46.954534197000015,9.261483664831795,86.38014527845036,86.38014527845036,226,强
sh601618,2025-03-31,2025-05-15,17.303303771771716,26.556668000570774,9.253364228799056,86.31961259079904,86.31961259079904,227,强
sh600557,2025-03-31,2025-05-15,40.14004622074248,49.22121231678598,9.081166096043507,86.2590799031477,86.2590799031477,228,强
sh600629,2025-03-31,2025-05-15,23.2498007539631,32.23597447399814,8.98617372003504,86.19854721549636,86.19854721549636,229,强
sh600820,2025-03-31,2025-05-15,18.432546889595532,27.346546979080415,8.914000089484885,86.13801452784504,86.13801452784504,230,强
sh603033,2025-03-31,2025-05-15,25.007552966439768,33.89935165151405,8.891798685074281,86.0774818401937,86.0774818401937,231,强
sh601880,2025-03-31,2025-05-15,30.830528472194803,39.675435441815445,8.844906969620641,86.01694915254238,86.01694915254238,232,强
sh688083,2025-03-31,2025-05-15,33.51076691566752,42.277937308493335,8.76717039282582,85.95641646489103,85.95641646489103,233,强
sz000883,2025-03-31,2025-05-15,28.498946994697043,37.042021217839334,8.543074223142293,85.89588377723972,85.89588377723972,234,强
sz002099,2025-03-31,2025-05-15,25.3352916978271,33.87808430344532,8.542792605618217,85.83535108958837,85.83535108958837,235,强
sh603915,2025-03-31,2025-05-15,36.53082241751108,45.056094842728285,8.525272425217205,85.77481840193705,85.77481840193705,236,强
sz300315,2025-03-31,2025-05-15,36.11925419433843,44.629980402668714,8.510726208330285,85.71428571428571,85.71428571428571,237,强
sz002390,2025-03-31,2025-05-15,30.61293531400584,39.11480305485898,8.501867740853145,85.65375302663438,85.65375302663438,238,强
sh603533,2024-09-30,2024-11-14,33.44466107733592,41.88427982135805,8.439618744022125,85.59322033898306,85.59322033898306,239,强
sz000589,2025-03-31,2025-05-15,27.00475179381687,35.434909425275904,8.430157631459032,85.53268765133171,85.53268765133171,240,强
sz002675,2025-03-31,2025-05-15,37.16385014805534,45.591446278062946,8.427596130007604,85.4721549636804,85.4721549636804,241,强
sh688631,2025-03-31,2025-05-15,26.144741209454743,34.496634721538086,8.35189351208334,85.41162227602905,85.41162227602905,242,强
sh600328,2025-03-31,2025-05-15,24.551867825314172,32.8888818804638,8.337014055149623,85.35108958837773,85.35108958837773,243,强
sz000813,2025-03-31,2025-05-15,31.846885501067277,40.16137690658938,8.314491405522103,85.29055690072639,85.29055690072639,244,强
sh688106,2025-03-31,2025-05-15,38.66832357605051,46.94490695779167,8.276583381741162,85.23002421307507,85.23002421307507,245,强
sz002436,2025-03-31,2025-05-15,27.434432936509037,35.67392871249409,8.239495775985052,85.16949152542372,85.16949152542372,246,强
sz300468,2025-03-31,2025-05-15,37.22575343807478,45.39012941884863,8.164375980773846,85.10895883777239,85.10895883777239,247,强
sz002892,2025-03-31,2025-05-15,30.812276700363988,38.903867849663456,8.091591149299465,85.04842615012107,85.04842615012107,248,强
sz300296,2025-03-31,2025-05-15,33.58539014650782,41.65710437220415,8.071714225696333,84.98789346246973,84.98789346246973,249,强
sz000983,2025-03-31,2025-05-15,38.306274179879544,46.30864998366754,8.002375803787997,84.92736077481841,84.92736077481841,250,强
sh688700,2025-03-31,2025-05-15,38.17177206445323,46.13425721479061,7.962485150337379,84.86682808716706,84.86682808716706,251,强
sh688515,2025-03-31,2025-05-15,37.893012529663444,45.78928147875743,7.896268949093988,84.80629539951575,84.80629539951575,252,强
sh600821,2025-03-31,2025-05-15,36.604992336184644,44.387244133952166,7.782251797767524,84.7457627118644,84.7457627118644,253,强
sh688126,2025-03-31,2025-05-15,29.31720489455463,37.081404565822986,7.764199671268357,84.68523002421307,84.68523002421307,254,强
sh688153,2025-03-31,2025-05-15,36.5784133809178,44.32935195670985,7.750938575792048,84.62469733656174,84.62469733656174,255,强
sh600827,2025-03-31,2025-05-15,29.208342895479912,36.92092112855579,7.71257823307588,84.5641646489104,84.5641646489104,256,强
sh688521,2025-03-31,2025-05-15,34.692232097999984,42.37527296254523,7.683040864545247,84.50363196125909,84.50363196125909,257,强
sh600639,2025-03-31,2025-05-15,33.9560405311519,41.57621607365922,7.62017554250732,84.44309927360774,84.44309927360774,258,强
