code,quality_value_assets_debt_ratio,quality_value_basic_eps,quality_value_calc_per_net_assets,quality_value_calculate_operating_income_total_yoy_growth_ratio,quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_value_deduct_net_profit_yoy_growth_ratio,quality_value_equity_ratio,quality_value_index_deduct_holder_net_profit,quality_value_index_full_diluted_roe,quality_value_index_per_operating_cash_flow_net,quality_value_index_weighted_avg_roe,quality_value_operating_income_total,quality_value_parent_holder_net_profit,quality_value_per_capital_reserve,quality_value_per_undistributed_profits,quality_value_sale_net_interest_ratio,quality_single_basic_eps,quality_single_calculate_operating_income_total_yoy_growth_ratio,quality_single_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_deduct_net_profit_yoy_growth_ratio,quality_single_index_deduct_holder_net_profit,quality_single_index_full_diluted_roe,quality_single_index_per_operating_cash_flow_net,quality_single_index_weighted_avg_roe,quality_single_operating_income_total,quality_single_parent_holder_net_profit,quality_single_sale_net_interest_ratio,quality_yoy_assets_debt_ratio,quality_yoy_basic_eps,quality_yoy_calc_per_net_assets,quality_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_yoy_deduct_net_profit_yoy_growth_ratio,quality_yoy_equity_ratio,quality_yoy_index_deduct_holder_net_profit,quality_yoy_index_full_diluted_roe,quality_yoy_index_per_operating_cash_flow_net,quality_yoy_index_weighted_avg_roe,quality_yoy_operating_income_total,quality_yoy_parent_holder_net_profit,quality_yoy_per_capital_reserve,quality_yoy_per_undistributed_profits,quality_yoy_sale_net_interest_ratio,quality_mom_basic_eps,quality_mom_calculate_operating_income_total_yoy_growth_ratio,quality_mom_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_mom_deduct_net_profit_yoy_growth_ratio,quality_mom_index_deduct_holder_net_profit,quality_mom_index_full_diluted_roe,quality_mom_index_per_operating_cash_flow_net,quality_mom_index_weighted_avg_roe,quality_mom_operating_income_total,quality_mom_parent_holder_net_profit,quality_mom_sale_net_interest_ratio,quality_single_yoy_basic_eps,quality_single_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_single_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_yoy_deduct_net_profit_yoy_growth_ratio,quality_single_yoy_index_deduct_holder_net_profit,quality_single_yoy_index_full_diluted_roe,quality_single_yoy_index_per_operating_cash_flow_net,quality_single_yoy_index_weighted_avg_roe,quality_single_yoy_operating_income_total,quality_single_yoy_parent_holder_net_profit,quality_single_yoy_sale_net_interest_ratio,statDate,pubDate,quality_value_business_cycle,quality_value_conservative_quick_ratio,quality_value_current_ratio,quality_value_inventory_turnover_days,quality_value_inventory_turnover_ratio,quality_value_quick_ratio,quality_value_receive_accounts_turnover_days,quality_value_sale_gross_margin,quality_single_sale_gross_margin,quality_yoy_business_cycle,quality_yoy_conservative_quick_ratio,quality_yoy_current_ratio,quality_yoy_inventory_turnover_days,quality_yoy_inventory_turnover_ratio,quality_yoy_quick_ratio,quality_yoy_receive_accounts_turnover_days,quality_yoy_sale_gross_margin,quality_mom_sale_gross_margin,quality_single_yoy_sale_gross_margin
sh600519,19.1172,8.93,98.7566,22.208271,31.909656,32.793,0.2464,11301721758.13,9.0453,0.9467,9.47,22480525254.69,11221431345.08,1.0945,85.3396,55.0532,8.9329,22.208271,31.909656,32.793,11301721758.13,9.4737,0.9467,9.47,22480525254.69,11221431345.08,55.0532,-0.12171456,0.31905465,0.24110049,-0.31056792,-0.1803521,-0.14662676,-0.15818244,0.32793037,0.06284002,-0.75904197,0.06524184,0.22208271,0.31909656,0.0,0.21108859,0.05313378,0.07177223,-0.34902245,-0.32905198,-0.33497462,0.06055397,-0.02636123,-0.90965913,-0.00629591,0.01126434,0.07176252,0.04632847,0.3191128,-0.31056792,-0.1803521,-0.14662676,0.32793037,0.0658139,-0.75904197,0.06524184,0.22208271,0.31909656,0.05313378,2019-03-31,2019-05-15,1253.4819,3.6859,4.5107,1253.4819,0.0718,3.6859,,92.1113,92.1113,-0.04038995,0.21250699,0.17991577,-0.04038995,0.04208999,0.21119217,,0.00882532,0.01014296,0.00882532
sh600519,27.5644,15.88,91.351,16.797079,26.559189,26.1095,0.3966,20031439180.39,17.3858,19.1745,16.21,41172681309.94,19951025609.22,1.0945,75.5726,53.6787,6.9492,10.891822,20.287426,18.3949,8729717422.26,7.3108,18.2278,6.74,18692156055.25,8729594264.14,52.0114,0.07183158,0.26533865,0.22867,-0.56113757,-0.3379299,-0.36035288,0.10875035,0.2610946,0.03004989,0.3581598,0.02142407,0.16797079,0.26559189,0.0,0.23488676,0.05942642,-0.22206674,-0.50956011,-0.36422298,-0.43906017,-0.22757633,-0.22830573,18.25404035,-0.28827878,-0.16851782,-0.22206054,-0.05525201,0.20286644,-0.76091884,-0.51149638,-0.57890411,0.18394902,-0.02609669,0.78895094,-0.03438395,0.10891822,0.20287426,0.06352124,2019-06-30,2019-09-13,1331.3609,2.5684,3.1372,1331.3609,0.1352,2.577,,91.8668,91.5703,0.01405321,0.01145985,-0.02758663,0.01405321,-0.0138585,0.01484661,,0.01016801,-0.00587333,0.01133817
sh600519,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,22.4899,32.8,108.2714,15.09721,17.051783,16.3591,0.3027,41406909012.08,30.2966,35.99,33.09,88854337488.76,41206471014.43,1.0945,92.2564,51.4693,8.5589,14.015026,2.689027,2.0293,10872688093.12,8.2303,14.2455,8.17,25345674442.06,10751615628.99,47.1841,-0.15290045,0.17059243,0.2053526,-0.42870512,-0.43163919,-0.46735758,-0.19516086,0.1635912,-0.0288991,0.0924334,-0.03975624,0.1509721,0.17051783,0.0,0.20743861,0.00189793,0.02359596,0.05548704,-0.84281881,-0.87410509,0.03521985,-0.05968444,4.54299611,-0.0619977,0.13474638,0.02359005,-0.09774245,0.02689959,-0.58918606,-0.9434592,-0.95884683,0.02029343,-0.15414894,0.35940721,-0.14270724,0.14015026,0.02689027,-0.10322984,2019-12-31,2020-04-29,1181.8779,0.3599,3.8698,1181.8779,0.3046,3.2163,,91.3028,90.8384,-0.06007878,-0.86487704,0.1912575,-0.06007878,0.06391897,0.20754646,,0.00176428,0.00048241,-0.00381636
sh600519,14.2546,10.42,118.6947,12.535146,16.685384,16.4001,0.1736,13155216731.0,8.7816,1.8334,9.18,25298492025.94,13093770211.16,1.0945,102.6798,56.8024,10.4233,12.535146,16.685384,16.4001,13155216731.0,9.1849,1.8334,9.18,25298492025.94,13093770211.16,56.8024,-0.25435733,0.1668533,0.20189132,-0.43556407,-0.47710549,-0.49989022,-0.29545455,0.16400112,-0.02915326,0.93662195,-0.03062302,0.12535146,0.16685384,0.0,0.20319055,0.0317729,0.21783173,-0.10559238,5.20498939,7.08165377,0.20993232,0.11598605,-0.87129971,0.12362301,-0.00186156,0.21784211,0.20384621,0.16684391,-0.43556407,-0.47710549,-0.49989022,0.16400112,-0.03048439,0.93662195,-0.03062302,0.12535146,0.16685384,0.0317729,2020-03-31,2020-05-15,1119.403,0.8176,6.1169,1119.403,0.0804,5.0822,,91.6722,91.6722,-0.10696517,-0.77818172,0.35608664,-0.10696517,0.11977716,0.378822,,-0.00476706,0.00917894,-0.00476706
sh600519,17.236,17.99,109.2396,10.83653,13.28568,13.1857,0.2163,22672726309.64,16.4703,10.047,15.34,45634371275.58,22601655085.51,1.0945,90.3867,54.4392,7.5688,8.793652,8.915542,9.0243,9517509578.64,6.6412,8.2136,6.16,20335879249.64,9507884874.35,51.4886,-0.3747007,0.13287154,0.19582271,-0.35485628,-0.49977087,-0.49498458,-0.45461422,0.13185708,-0.05265792,-0.47602284,-0.05367057,0.1083653,0.1328568,0.0,0.19602475,0.01416763,-0.27385761,-0.29848029,-0.46566756,-0.44974116,-0.27652202,-0.27694368,3.47998255,-0.32897603,-0.19616239,-0.27386194,-0.09354886,0.08916134,-0.19263719,-0.56053853,-0.50941294,0.09024257,-0.09159052,-0.54939159,-0.08605341,0.08793652,0.08915542,-0.01005164,2020-06-30,2020-09-13,1237.1134,0.9019,4.8922,1237.1134,0.1455,3.9704,,91.4628,91.2015,-0.07079035,-0.64884753,0.55941604,-0.07079035,0.07618343,0.54070625,,-0.00439767,-0.0051346,-0.00402751
sh600519,16.474,26.93,118.1759,9.55179,11.072942,11.0299,0.2048,33902100761.01,22.7865,19.9897,23.2,69574876860.53,33827103961.22,1.0945,99.3228,53.3374,8.9361,7.183583,6.870057,6.9181,11229374451.37,7.8588,9.9427,7.86,23940505584.95,11225448875.71,51.2555,-0.15600617,0.1109736,0.18516992,-0.38513817,-0.52130972,-0.50944865,-0.19147256,0.11029854,-0.06281232,-0.08070087,-0.06902087,0.0955179,0.11072942,0.0,0.18334124,0.00273538,0.18064951,-0.18309446,-0.22942913,-0.23339206,0.17986479,0.18334036,0.2105167,0.27597403,0.17725451,0.18064628,-0.00452722,0.06870695,-0.45899646,-0.59842585,-0.57081084,0.06918098,-0.10212849,2.86875486,-0.09758898,0.07183583,0.06870057,-0.01988886,2020-09-30,2020-11-14,1210.2196,0.9562,5.1796,1210.2196,0.2231,4.2546,,91.325,91.0646,-0.01613626,-0.73362677,0.17246531,-0.01613626,0.01640091,0.18117712,,-0.00179693,-0.00150107,0.00297375
sh600519,21.4039,37.17,128.4214,10.285264,13.325127,13.5473,0.2831,47016420742.73,28.9465,41.1313,31.41,97993240501.21,46697285429.81,1.0945,109.5324,52.1763,10.2453,12.123131,19.704628,20.6171,13114319981.72,8.3094,21.1416,8.21,28418363640.68,12870181468.59,49.359,-0.04828834,0.13323171,0.1861064,-0.31873081,-0.21854934,-0.17187987,-0.06475058,0.13547284,-0.04456276,0.14285357,-0.05077063,0.10285264,0.13325127,0.0,0.18726072,0.01373634,0.14650687,0.68761619,1.86818989,1.98016797,0.16785846,0.057337,1.12634395,0.04452926,0.18704108,0.1465182,-0.03700091,0.19703467,-0.13499047,6.32779106,9.15971024,0.2061709,0.00961083,0.48408971,0.00489596,0.12123131,0.19704628,0.04609392,2020-12-31,2021-04-30,1195.6161,0.8245,4.0648,1195.6161,0.3011,3.4124,,91.4092,91.6135,0.01162404,1.29091414,0.0503902,0.01162404,-0.01149048,0.06097068,,0.00116535,0.00602759,0.00853274
sh600519,15.2071,11.11,139.5276,10.934421,6.573293,6.1895,0.1867,13969463370.71,7.9615,-1.1821,8.29,28064735731.77,13954462085.61,1.0945,120.6409,54.1678,11.1085,10.934421,6.573293,6.1895,13969463370.71,8.2915,-1.1821,8.29,28064735731.77,13954462085.61,54.1678,0.06682054,0.06621881,0.17551668,-0.12769895,-0.60604485,-0.62259376,0.07546083,0.06189534,-0.09338845,-1.64475837,-0.09694989,0.10934421,0.06573293,0.0,0.1749234,-0.04638184,0.08425327,-0.09805305,-0.66640867,-0.69978804,0.06520684,-0.00215419,-1.05591346,0.00974421,-0.01244364,0.0842475,0.09742499,0.06573734,-0.12769895,-0.60604485,-0.62259376,0.06189534,-0.09726834,-1.64475837,-0.09694989,0.10934421,0.06573293,-0.04638184,2021-03-31,2021-05-15,1159.7938,1.6076,5.7487,1159.7938,0.0776,4.8009,,91.6763,91.6763,0.03608245,0.96624266,-0.06019389,0.03608245,-0.03482587,-0.05535005,,4.472e-05,0.00068549,4.472e-05
sh600519,21.2828,19.63,128.7518,11.147763,9.080443,8.717,0.2801,24649117714.43,15.2432,17.2898,14.2,50721582926.18,24653985551.58,1.0945,106.5797,53.3879,8.5174,11.413167,12.533162,12.2106,10679654343.72,6.3496,18.4719,5.91,22656847194.41,10699523465.97,52.4131,0.23478765,0.09116176,0.17861838,0.02872073,-0.31652403,-0.33890503,0.2949607,0.08717043,-0.0745038,0.72089181,-0.07431551,0.11147763,0.09080443,0.0,0.17915246,-0.01931145,-0.23325381,0.04378339,0.90667935,0.97279263,-0.23550003,-0.2342037,16.62634295,-0.28709288,-0.19269337,-0.23325432,-0.03239378,0.1253303,0.29788704,0.40576557,0.35308002,0.12210597,-0.04390773,1.24894078,-0.04058442,0.11413167,0.12533162,0.01795543,2021-06-30,2021-09-13,1265.8228,1.2362,4.0522,1265.8228,0.1422,3.3481,,91.3784,91.0061,0.02320677,0.37066194,-0.17170189,0.02320677,-0.02268041,-0.15673484,,-0.00092278,-0.0073105,-0.00214251
