index_code,date,open,close,low,high,volume,money,change
sz399001,1996-11-07,3412.62,3393.29,3360.17,3436.22,614930700.0,5731201000.0,-0.002360848141309879
sz399001,1996-11-06,3501.34,3401.32,3344.34,3514.59,937579600.0,7949987800.0,-0.027571931750606127
sz399001,1996-11-05,3546.71,3497.76,3459.43,3574.55,1307383700.0,11459340200.0,-0.009713850518251355
sz399001,1996-11-04,3461.67,3532.07,3440.55,3546.74,1429160200.0,11013639100.0,0.020186703175456122
sz399001,1996-11-01,3545.78,3462.18,3384.71,3553.04,1678292800.0,13403601900.0,-0.035977713364463315
sz399001,1996-10-31,3509.71,3591.39,3460.38,3593.02,1621504300.0,14213398000.0,0.03202937990131982
sz399001,1996-10-30,3566.56,3479.93,3432.97,3603.77,1442989900.0,12812692400.0,-0.022733144615937673
sz399001,1996-10-29,3559.08,3560.88,3533.17,3651.74,1733256800.0,17291698000.0,0.014019050873520955
sz399001,1996-10-28,3343.91,3511.65,3343.91,3511.65,1666686300.0,15426438000.0,0.04549487323004375
sz399001,1996-10-25,3317.59,3358.84,3286.23,3361.04,1202395700.0,10542983100.0,0.009133407842713215
sz399001,1996-10-24,3366.45,3328.44,3286.20,3387.44,1247171200.0,10900572100.0,0.0021738999524272273
sz399001,1996-10-23,3254.98,3321.22,3218.59,3334.59,1293016100.0,10498201600.0,0.027999603808391615
sz399001,1996-10-22,3207.78,3230.76,3179.66,3329.40,1534924200.0,12660629500.0,-0.03061108143951896
sz399001,1996-10-21,3127.34,3332.78,3127.06,3332.78,1706083200.0,14672375000.0,0.06454786469479679
sz399001,1996-10-18,3253.53,3130.7,3103.86,3271.00,1686470400.0,14060277000.0,-0.03369877896712237
sz399001,1996-10-17,3199.11,3239.88,3169.47,3240.25,1815968400.0,15233419000.0,0.011182721867636358
sz399001,1996-10-16,3236.08,3204.05,3141.78,3274.99,1640846300.0,14004543000.0,-0.004099787395407173
sz399001,1996-10-15,3162.85,3217.24,3125.52,3218.84,1602426300.0,12792880100.0,0.021761223608323332
sz399001,1996-10-14,3048.14,3148.72,3040.26,3155.40,1794711600.0,13944648000.0,0.04916765517333288
sz399001,1996-10-11,2997.27,3001.16,2956.97,3010.48,1544550100.0,11343223799.999998,0.011414455614382035
sz399001,1996-10-10,2897.76,2967.29,2885.47,2969.39,1090295700.0,8474624000.0,0.02580332912727079
sz399001,1996-10-09,2948.06,2892.65,2867.89,2979.76,1418617300.0,10817729500.0,-0.01474820756484263
sz399001,1996-10-08,2906.93,2935.95,2862.04,2936.04,1317809700.0,10133434300.0,0.01658910541405234
sz399001,1996-10-07,2823.80,2888.04,2819.08,2888.04,1389152700.0,9442223100.0,0.02954188159719373
sz399001,1996-10-04,2781.28,2805.17,2764.11,2806.84,997060000.0,6524368800.0,0.005239110569601024
sz399001,1996-10-03,2806.48,2790.55,2780.02,2838.11,976448900.0,6991672800.0,0.009591033414856565
sz399001,1996-09-27,2706.04,2764.04,2694.47,2781.90,751242400.0,6229207000.0,0.028135694093140762
sz399001,1996-09-26,2656.93,2688.4,2653.60,2701.10,595611000.0,4415044000.0,0.015790010617355854
sz399001,1996-09-25,2681.42,2646.61,2603.50,2706.66,607234400.0,4766202800.0,-0.0048355499404015845
sz399001,1996-09-24,2603.96,2659.47,2600.19,2664.95,564756000.0,4342760900.0,0.021906196444902104
sz399001,1996-09-23,2603.44,2602.46,2561.19,2633.50,522349000.0,3601336000.0,0.0035592677857343435
sz399001,1996-09-20,2563.15,2593.23,2541.44,2593.23,542668800.0,3638863100.0,0.017383833152864625
sz399001,1996-09-19,2485.66,2548.92,2476.90,2559.37,567843500.0,4023622900.0,0.013922479633401208
sz399001,1996-09-18,2640.21,2513.92,2490.29,2652.66,795570200.0,5674254800.0,-0.048554051343382976
sz399001,1996-09-17,2616.63,2642.21,2584.81,2671.07,868977700.0,6245017000.0,0.014276281947931402
sz399001,1996-09-16,2559.32,2605.02,2521.67,2605.05,717524300.0,4828456900.0,0.019712995075665596
sz399001,1996-09-13,2503.62,2554.66,2469.61,2554.66,518020000.0,3412997100.0,0.015163918140274069
sz399001,1996-09-12,2585.90,2516.5,2487.96,2610.23,563921800.0,3772424900.0,-0.027402025199041558
