code,statDate,pubDate,quality_score,predicted_future_quality_score,predicted_quality_trend,score,trend_score,rank,rating
sh600522,2025-03-31,2025-05-15,47.84742236471638,45.98458006254647,-1.862842302169911,47.21549636803874,47.21549636803874,873,中性
sz000933,2025-03-31,2025-05-15,50.96869948740038,49.100856782897104,-1.8678427045032764,47.15496368038741,47.15496368038741,874,中性
sh600362,2025-03-31,2025-05-15,43.09753861343782,41.1871359114646,-1.910402701973218,47.09443099273607,47.09443099273607,875,中性
sh600938,2025-03-31,2025-05-15,62.74562115542977,60.795154781763614,-1.9504663736661538,47.03389830508475,47.03389830508475,876,中性
sh600486,2025-03-31,2025-05-15,59.25148319087503,57.29685576890528,-1.9546274219697481,46.973365617433416,46.973365617433416,877,中性
sz002851,2025-03-31,2025-05-15,49.650464038072805,47.69011100903515,-1.9603530290376534,46.912832929782084,46.912832929782084,878,中性
sh688111,2025-03-31,2025-05-15,68.01786340513095,66.05524802854521,-1.9626153765857424,46.85230024213075,46.85230024213075,879,中性
sh601611,2025-03-31,2025-05-15,32.64979562642827,30.68233002835175,-1.967465598076521,46.79176755447942,46.79176755447942,880,中性
sh600075,2025-03-31,2025-05-15,43.70030062777107,41.73051912005823,-1.96978150771284,46.73123486682809,46.73123486682809,881,中性
sz300144,2025-03-31,2025-05-15,62.59300442446213,60.59176405592513,-2.001240368537,46.67070217917676,46.67070217917676,882,中性
sz000951,2025-03-31,2025-05-15,42.523916456234886,40.51962062892139,-2.0042958273134968,46.61016949152542,46.61016949152542,883,中性
sh600332,2025-03-31,2025-05-15,43.6428902964053,41.59991680327192,-2.0429734931333825,46.54963680387409,46.54963680387409,884,中性
sz000596,2025-03-31,2025-05-15,75.8728952665757,73.82044400200444,-2.0524512645712623,46.48910411622276,46.48910411622276,885,中性
sz300207,2025-03-31,2025-05-15,48.541300978528355,46.40429511994061,-2.13700585858774,46.42857142857143,46.42857142857143,886,中性
sh600461,2025-03-31,2025-05-15,50.14315243886518,47.99352261155563,-2.1496298273095436,46.3680387409201,46.3680387409201,887,中性
sh600583,2025-03-31,2025-05-15,49.91018825377726,47.7536390322164,-2.1565492215608604,46.30750605326877,46.30750605326877,888,中性
sh600039,2025-03-31,2025-05-15,43.55209039445246,41.394059032646126,-2.1580313618063363,46.246973365617436,46.246973365617436,889,中性
sh603160,2025-03-31,2025-05-15,57.97591869897117,55.79205661005581,-2.1838620889153617,46.186440677966104,46.186440677966104,890,中性
sz000061,2025-03-31,2025-05-15,48.057004606360216,45.78919559662883,-2.2678090097313897,46.125907990314765,46.125907990314765,891,中性
sh600704,2025-03-31,2025-05-15,37.996625373224106,35.673809443724785,-2.322815929499318,46.06537530266343,46.06537530266343,892,中性
sz300618,2025-03-31,2025-05-15,49.78554318586319,47.45986099268113,-2.3256821931820584,46.00484261501211,46.00484261501211,893,中性
sz300674,2025-03-31,2025-05-15,51.67298496209328,49.31500976959012,-2.35797519250316,45.94430992736078,45.94430992736078,894,中性
sh688343,2025-03-31,2025-05-15,51.5522378638783,49.167947827351256,-2.3842900365270383,45.883777239709445,45.883777239709445,895,中性
sz002415,2025-03-31,2025-05-15,55.90226929649213,53.50001336229758,-2.4022559341945495,45.823244552058114,45.823244552058114,896,中性
sh600406,2025-03-31,2025-05-15,51.80596965438424,49.39173248313772,-2.414237171246519,45.76271186440678,45.76271186440678,897,中性
sh600783,2025-03-31,2025-05-15,54.88764499712056,52.45005161546523,-2.4375933816553292,45.70217917675545,45.70217917675545,898,中性
sh688017,2025-03-31,2025-05-15,55.665261993540405,53.215747015525295,-2.449514978015106,45.64164648910412,45.64164648910412,899,中性
sh688660,2025-03-31,2025-05-15,41.13765352805915,38.64234358062985,-2.4953099474292983,45.58111380145278,45.58111380145278,900,中性
sh600509,2025-03-31,2025-05-15,46.81666021768817,44.29407683077715,-2.5225833869110152,45.52058111380145,45.52058111380145,901,中性
sh603055,2025-03-31,2025-05-15,50.02608236023712,47.45886049538753,-2.567221864849583,45.460048426150124,45.460048426150124,902,中性
sz002145,2025-03-31,2025-05-15,49.65368647704083,47.08527667701599,-2.5684098000248383,45.39951573849879,45.39951573849879,903,中性
sz002831,2025-03-31,2025-05-15,53.5961610587718,51.01195026088343,-2.5842107978883693,45.33898305084746,45.33898305084746,904,中性
sz300580,2025-03-31,2025-05-15,56.33797956780788,53.74843633339376,-2.589543234414113,45.27845036319613,45.27845036319613,905,中性
sz002536,2025-03-31,2025-05-15,53.26386579586827,50.630037427412496,-2.6338283684557755,45.2179176755448,45.2179176755448,906,中性
sh600420,2025-03-31,2025-05-15,56.11925615148807,53.47347397044633,-2.645782181041738,45.157384987893465,45.157384987893465,907,中性
sh688596,2025-03-31,2025-05-15,49.018120397145864,46.358713461426746,-2.6594069357191223,45.096852300242126,45.096852300242126,908,中性
sh601890,2025-03-31,2025-05-15,55.27914677632163,52.61111034794411,-2.6680364283775164,45.036319612590795,45.036319612590795,909,中性
sh688686,2025-03-31,2025-05-15,63.99009634423994,61.307624447314026,-2.68247189692591,44.97578692493946,44.97578692493946,910,中性
sh605090,2025-03-31,2025-05-15,52.77445327541138,50.08781372669167,-2.686639548719711,44.91525423728814,44.91525423728814,911,中性
sz000963,2025-03-31,2025-05-15,53.999381053021835,51.248181320705115,-2.7511997323167194,44.85472154963681,44.85472154963681,912,中性
sh600729,2025-03-31,2025-05-15,55.372453684342766,52.5778675391668,-2.794586145175966,44.794188861985475,44.794188861985475,913,中性
sz301339,2025-03-31,2025-05-15,55.58056595009034,52.77441491582187,-2.8061510342684652,44.73365617433414,44.73365617433414,914,中性
sh600750,2025-03-31,2025-05-15,64.4728100463513,61.64995598076505,-2.822854065586248,44.67312348668281,44.67312348668281,915,中性
sh601200,2025-03-31,2025-05-15,49.53426530263366,46.7044943878877,-2.829770914745966,44.61259079903147,44.61259079903147,916,中性
sh603888,2025-03-31,2025-05-15,53.113709710818945,50.226637374764664,-2.8870723360542847,44.55205811138014,44.55205811138014,917,中性
sz002993,2025-03-31,2025-05-15,54.477446353157916,51.586967283534456,-2.8904790696234577,44.49152542372881,44.49152542372881,918,中性
