code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz300308,2024-05-10,170.8,172.68,166.68,171.2,-0.01143319089964212,15323894.0,2601899902.0,136777156174.4,137443851945.6,0.019180473744131114,805.0647847121506,2024-08-26,2024-06-30,34.64285917183882,7.848284792279407,80.39521688001085,8.018980184616765,121.9182137076116
sz300308,2024-05-13,172.5,176.0,170.46,171.55,0.0020443925233646354,16663990.0,2884117090.0,137056782369.85,137724841128.9,0.020857833046056273,806.7106531388403,2024-08-26,2024-06-30,34.71368277411769,7.864329767029978,80.5595762603146,8.035374127751203,122.16746239217741
sz300308,2024-05-14,171.86,173.0,164.69,165.43,-0.03567473039930047,21466095.0,3588889957.0,132167318609.41,132811544552.34,0.026868488618919197,777.9314680778685,2024-08-26,2024-06-30,33.475281499984206,7.583771922819991,77.685635096146,7.748714322086165,117.8091711077698
sz300308,2024-05-15,165.01,171.21,164.5,166.77,0.00810010276249784,15412144.0,2592032885.0,133237887471.99,133887331711.26,0.019290933709980498,784.23279291148,2024-08-26,2024-06-30,33.746434720137614,7.645201254722177,78.31489672359467,7.8114797043723,118.76343750010741
sz300308,2024-05-16,171.98,174.58,170.0,170.5,0.022366132997541532,23207531.0,3996205959.0,136217903783.50002,136881873579.0,0.029048193560436322,801.7730478587716,2024-08-26,2024-06-30,34.50121196728107,7.816194842778265,80.06649811940333,7.986192298347888,121.41971633848004
sz300308,2024-05-17,167.8,173.31,164.23,170.58,0.00046920821114371236,19908093.0,3355521484.0,136341461639.46,137005742975.04,0.024907482016880114,802.1492463563006,2024-08-26,2024-06-30,34.5324333713815,7.823268002351486,80.13895321156251,7.993419294814185,121.47668746638078
sz300308,2024-05-20,169.0,178.85,166.5,176.86,0.03681557040684713,24224938.0,4216190046.0,141360950319.82,142049687551.68,0.030308388030688613,831.6808284123305,2024-08-26,2024-06-30,35.80376460348536,8.111286076303692,83.08931448585382,8.287701585653869,125.94892100658988
sz300308,2024-05-21,176.66,180.3,175.75,177.43,0.0032228881601266135,13305216.0,2365089270.0,141816540852.91,142507497807.84,0.01664646775814768,834.3612427072248,2024-08-26,2024-06-30,35.9191561325139,8.137427844162412,83.35710205374332,8.314411920968936,126.35484029288276
sz300308,2024-05-22,176.0,176.88,172.72,173.17,-0.02400946852279784,13940035.0,2424031283.0,138411601079.29,139085968524.96,0.01744070469618458,814.3286727138034,2024-08-26,2024-06-30,35.056756283984846,7.942052526481456,81.35574233583232,8.114787309666857,123.32112773216765
sz300308,2024-05-23,178.0,179.67,168.88,173.79,0.003580296818155526,22164506.0,3862401523.0,138907155694.22998,139583937575.52,0.027730533236309047,817.2442110696534,2024-08-26,2024-06-30,35.182269876963254,7.970487431871642,81.64702004125598,8.143840656851667,123.76265397339849
sz300308,2024-05-24,172.0,179.74,164.98,165.39,-0.04833419644398418,27366578.0,4707445197.0,132583824584.43,133227894757.32,0.03413808848558084,777.7433688291039,2024-08-26,2024-06-30,33.580222982001146,7.607546249104881,77.92917138062566,7.773005725421669,117.7806855438194
sz300308,2024-05-27,166.11,170.89,165.0,168.39,0.018138944313440986,16695123.0,2800223306.0,134988755195.43,135644508121.32,0.020826118130357982,791.8508124864429,2024-08-26,2024-06-30,34.189332776704596,7.745539106879321,79.34272428069143,7.91399984342315,119.91710284009764
sz300308,2024-05-28,167.0,167.39,160.1,161.01,-0.04382683057188663,24734629.0,4020566728.0,129072625892.37,129699639245.88,0.030854897293334006,757.1465010893888,2024-08-26,2024-06-30,32.690922681734115,7.406076676754199,75.86538414652965,7.567154313139506,114.66151629125318
sz300308,2024-05-29,165.0,166.0,160.47,161.0,-6.210794360594907e-05,15789813.0,2569503575.0,129064609456.99998,129691583868.0,0.01969680072403553,757.0994762771977,2024-08-26,2024-06-30,32.688892315751765,7.405616700561616,75.86067230352941,7.566684332746167,114.65439490026557
sz300308,2024-05-30,161.1,162.9,158.66,159.97,-0.006397515527950315,10958541.0,1761805684.0,128238916613.89,128861879946.36,0.013670092122254583,752.2559206215112,2024-08-26,2024-06-30,32.47976461957025,7.358239152725726,75.37535247450684,7.518276352232325,113.92089162854337
sz300308,2024-05-31,157.0,162.68,154.54,157.27,-0.016878164655872885,14953577.0,2374106006.0,126074479063.99,126686927918.76,0.018653648797520336,739.5592213299061,2024-08-26,2024-06-30,31.93156580433714,7.234045580728728,74.10315486444763,7.391381646030991,111.99811606189296
sz300308,2024-06-03,161.0,171.71,159.33,168.35,0.070452088764545,28507597.0,4731275316.0,134956689453.95,135612286609.8,0.03556143807593624,791.6627132376784,2024-08-26,2024-06-30,34.18121131277521,7.743699202108994,79.32387690869054,7.912119921849796,119.88861727614726
sz300308,2024-06-04,170.0,174.99,169.4,173.0,0.027621027621027583,20440158.0,3530988623.0,138684331901.0,139358037324.0,0.025497814248579165,813.529250906554,2024-08-26,2024-06-30,35.125331494565565,7.957588131659377,81.51488390379248,8.130660804752093,123.20006408537854
sz300308,2024-06-05,172.1,173.5,166.96,166.96,-0.03491329479768779,14107165.0,2396263070.0,133842404937.52,134492589084.48,0.017597802949666893,785.1262643431114,2024-08-26,2024-06-30,33.89899044122928,7.6797625113401695,78.66893073166005,7.846792647175776,118.8987439288717
sz300308,2024-06-06,123.3,129.92,123.3,125.42,0.048311601471079824,40541005.0,5135755310.0,139932919864.36002,140616703558.78,0.036336359250051124,823.0569715305335,2024-08-26,2024-06-30,35.44257956713188,8.029460179256597,82.25111723465645,8.204096025410358,124.6429326609753
sz300308,2024-06-07,124.1,125.94,118.99,119.51,-0.047121671184819025,31591658.0,3833371067.0,133339046826.58,133990609490.59,0.028315179517447865,784.2731515516987,2024-08-26,2024-06-30,33.77246598682771,7.65109859689807,78.37530713374098,7.81750531013229,118.76954937261328
